x,data,std
1979,2,1.296661771
1980,8,3.172413793
1981,5,2.755601796
1982,27,4.053741244
1983,31,7.548023026
1984,11,2.985896297
1985,3,1.438389904
1986,10,5.461354882
1987,8,2.860614504
1988,5,2.353937678
1989,27,7.504101138
1990,22,3.606705342
1991,14,5.556113065
1992,24,4.891206407
1993,4,3.925283149
1994,33,3.924980214
1995,35,3.413967254
1996,6,2.079856393
1997,24,5.501918377
1998,9,3.368384872
1999,27,6.464390706
2000,12,4.33523846
2001,28,3.570922335
2002,13,13.12964713
2003,38,8.459457765
2004,23,4.014835746
2005,29,5.823401885
2006,40,7.850263369
2007,4,4.171986299
2008,16,7.046980109
2009,16,9.102272651
2010,22,4.704590821
2011,2,3.926191814
2012,18,4.367483351
2013,24,5.433633751
2014,23,11.32998715
2015,17,4.943918543
2016,25,16.18406315
2017,23,6.870814043
2018,50,3.232563212
